Product_ID,Product_Name,Category,Price (INR),Occasion,Description
1,Magnam Set,Soft Toys," ? 1,935.00 ",All Occasions,Quam numquam iste sunt nemo.
2,Voluptas Box,Plants, ? 441.00 ,Valentine's Day,At quaerat animi nemo.
3,Eius Gift,Colors," ? 1,534.00 ",Valentine's Day,Deserunt pariatur mollitia voluptatem.
4,Accusantium Set,Sweets," ? 1,199.00 ",Diwali,Corporis odio consequatur perferendis repellendus laudantium deserunt.
5,Natus Gift,Colors," ? 1,444.00 ",All Occasions,Quis occaecati reprehenderit facere tenetur illum exercitationem.
6,Quos Box,Cake," ? 1,112.00 ",Holi,Eum deleniti adipisci vero neque.
7,Quos Set,Soft Toys, ? 409.00 ,Holi,Sint accusamus veritatis exercitationem corporis.
8,Qui Box,Sweets, ? 252.00 ,Anniversary,Praesentium necessitatibus quos esse neque.
9,Aperiam Box,Colors," ? 1,605.00 ",Raksha Bandhan,Explicabo totam quaerat a quaerat ducimus officia.
10,Accusantium Gift,Cake, ? 259.00 ,Birthday,Minima nobis repellendus distinctio a veritatis voluptate eaque.
11,Maxime Set,Mugs," ? 1,096.00 ",Valentine's Day,Sapiente exercitationem illo sed ea.
12,Non Set,Plants, ? 672.00 ,Anniversary,Fugiat id similique minima corrupti ut sint sapiente.
13,Et Set,Mugs," ? 1,141.00 ",Holi,Eius praesentium ipsum autem.
14,Deserunt Box,Colors," ? 1,915.00 ",Birthday,Incidunt hic vero esse saepe illum.
15,Repudiandae Box,Raksha Bandhan," ? 1,488.00 ",Anniversary,Consequuntur placeat quia voluptate esse consectetur accusamus nemo.
16,Ut Pack,Sweets," ? 1,721.00 ",Holi,Quae occaecati laborum expedita perspiciatis consequatur ad.
17,Delectus Gift,Soft Toys," ? 1,899.00 ",Anniversary,Architecto beatae ullam ad sed dolorem voluptates est.
18,Nemo Set,Plants, ? 781.00 ,Birthday,Perspiciatis nemo dolorem perspiciatis aspernatur.
19,Iure Gift,Mugs," ? 1,234.00 ",Valentine's Day,Autem quaerat tempore quasi ipsam.
20,Reiciendis Box,Colors, ? 697.00 ,Anniversary,Molestias earum quam dolor.
21,Quia Gift,Colors," ? 1,561.00 ",Raksha Bandhan,Autem necessitatibus perferendis consequatur suscipit iste harum sint.
22,Exercitationem Pack,Soft Toys," ? 1,639.00 ",All Occasions,Iusto cum nostrum quasi dicta totam error.
23,Dignissimos Pack,Sweets," ? 1,098.00 ",Anniversary,Sunt laborum incidunt ad asperiores itaque minus placeat.
24,Ad Box,Mugs, ? 535.00 ,Birthday,Possimus perspiciatis nesciunt modi molestias.
25,Qui Gift,Plants," ? 1,202.00 ",Anniversary,Maxime culpa earum blanditiis.
26,Aliquam Box,Colors, ? 289.00 ,Holi,Sunt repellendus quidem laborum provident voluptas ut nisi.
27,Architecto Gift,Cake, ? 548.00 ,Raksha Bandhan,Odio quisquam inventore esse sed recusandae autem.
28,Velit Set,Sweets," ? 1,778.00 ",Raksha Bandhan,Quidem sit facilis consequuntur iusto dignissimos exercitationem.
29,In Set,Colors," ? 1,252.00 ",Holi,Occaecati impedit incidunt qui.
30,Recusandae Pack,Colors, ? 751.00 ,Anniversary,Maxime exercitationem repellat veritatis a dolorem.
31,Nihil Box,Colors," ? 1,804.00 ",All Occasions,Eveniet sint molestiae.
32,Fuga Set,Soft Toys," ? 1,792.00 ",Birthday,Modi veniam vero dolores.
33,Earum Set,Colors, ? 314.00 ,Valentine's Day,Nisi quis nam ipsa molestias vel totam.
34,Placeat Pack,Soft Toys," ? 1,335.00 ",Raksha Bandhan,Illo in quas at rem.
35,Nam Gift,Colors," ? 1,865.00 ",Holi,Ab possimus tempore maiores nesciunt enim placeat excepturi.
36,Cum Gift,Plants, ? 203.00 ,Birthday,Magni maiores ullam fugiat.
37,Officiis Pack,Colors," ? 1,428.00 ",Diwali,Error facere quae cupiditate provident.
38,Mollitia Set,Cake, ? 562.00 ,Birthday,Eaque deserunt possimus alias sint odit facere.
39,Voluptate Set,Mugs, ? 387.00 ,All Occasions,Voluptates nostrum ratione sint odit dolore consectetur.
40,Provident Pack,Sweets," ? 1,923.00 ",Anniversary,Voluptate eaque accusamus nobis voluptatem accusamus.
41,Aut Box,Sweets," ? 1,977.00 ",Diwali,Ab quisquam nobis ducimus.
42,Expedita Gift,Sweets," ? 1,744.00 ",All Occasions,Necessitatibus cum dolores alias sed.
43,Quisquam Pack,Raksha Bandhan, ? 750.00 ,Diwali,Odio incidunt tempore nesciunt.
44,Dolorum Set,Plants, ? 794.00 ,Diwali,Nam quod aliquid.
45,Iusto Set,Raksha Bandhan, ? 722.00 ,Birthday,Adipisci quo laboriosam.
46,Pariatur Set,Cake, ? 758.00 ,Anniversary,In nesciunt maxime nobis officiis dicta.
47,Harum Pack,Colors," ? 1,638.00 ",Holi,Maiores voluptates quam aspernatur magni distinctio provident.
48,Maiores Gift,Colors, ? 433.00 ,Diwali,Repellendus quae iusto nostrum commodi adipisci.
49,Voluptate Pack,Colors, ? 903.00 ,Valentine's Day,Saepe ratione ab inventore dignissimos.
50,Eligendi Set,Plants, ? 422.00 ,Holi,Consectetur illum pariatur totam fugit eum eaque.
51,Fugit Set,Soft Toys," ? 1,084.00 ",All Occasions,Maiores hic veritatis corporis modi.
52,Dolorum Box,Raksha Bandhan, ? 236.00 ,Valentine's Day,Amet accusamus natus magni non recusandae.
53,Ipsam Set,Sweets," ? 1,672.00 ",Raksha Bandhan,Deleniti aspernatur pariatur laudantium nihil at.
54,Occaecati Gift,Cake," ? 1,236.00 ",Anniversary,Ducimus possimus saepe totam impedit amet reprehenderit.
55,Dolores Gift,Soft Toys," ? 1,904.00 ",Raksha Bandhan,Nobis sed corrupti cupiditate fugiat unde.
56,Quia Gift,Raksha Bandhan," ? 1,272.00 ",Anniversary,Veniam expedita odit esse.
57,Voluptatem Box,Colors," ? 1,582.00 ",Birthday,Similique dolor saepe molestiae.
58,Sed Pack,Cake," ? 1,492.00 ",Valentine's Day,Reiciendis nam omnis vel explicabo amet perferendis.
59,Pariatur Box,Cake, ? 811.00 ,Raksha Bandhan,Exercitationem occaecati quam aperiam.
60,Ea Set,Sweets, ? 827.00 ,Diwali,Ex omnis sit quibusdam.
61,Iusto Box,Plants, ? 810.00 ,Anniversary,Sequi numquam rerum aspernatur aspernatur in.
62,Sed Set,Colors," ? 1,356.00 ",Holi,Sequi et dolore et consectetur odit deleniti.
63,Adipisci Set,Sweets," ? 1,348.00 ",All Occasions,Recusandae voluptate eaque blanditiis harum in facere consequuntur.
64,Nostrum Box,Soft Toys," ? 1,878.00 ",Raksha Bandhan,Illo laboriosam at delectus.
65,Error Gift,Raksha Bandhan," ? 1,895.00 ",All Occasions,Ratione alias nam dignissimos ullam.
66,Quas Box,Colors, ? 610.00 ,Holi,Architecto debitis repellendus error ducimus quod quo.
67,Maiores Box,Raksha Bandhan," ? 1,374.00 ",Anniversary,Earum quos enim minima.
68,Quas Gift,Soft Toys, ? 597.00 ,Valentine's Day,Enim non fugit reprehenderit minima.
69,Id Box,Cake, ? 998.00 ,Holi,Earum odio vitae mollitia autem.
70,Error Gift,Sweets, ? 866.00 ,Birthday,Debitis provident illo aliquam debitis.
